
=== Sheet: Current Pipeline (W Feedback) ===

					Reviewers: 
Leadership: Brendan, Yazan, Emily
Production: Garrett, Mariana, Felipe, Ishna
PPM: Mahmoud, Martina
Creative: Hannah, Matias		
PROD PHASE	RESPONSIBLE	GENERAL TASK	SPECIFIC ACTIONS	OPTIONAL ACTIONS	SOFTWARE	AUTOMATION OR AI TOOL USED 	NOTES
Onboarding		ONBOARDING (runs prior to first batch - see Standard Timeline)					
Onboarding	Onboarding Team (CoS and OC)		Client Signs contract		Nusii		
Onboarding	Onboarding Team		Share KO Survey 		Google Forms		
Onboarding	Onboarding Team		Create External Slack with Client		Slack		
Onboarding	Onboarding Team		Recieve & Review KO Survey		Google Forms		
Onboarding	Producer		Create New Client Portal/Calendar		Notion		
Onboarding	Producer		Fill Out New Client Portal 		Notion		
Onboarding	Producer		Create Template Client Space in ClickUp		ClickUp		
Onboarding	Producer		Fill Out new ClickUp Space with client information		ClickUp		
Onboarding	Producer		Create Internal Slack Channel & Invite Team Members (CD PPM Editors Production ECD CoS CEO Hol HoP)		Slack		
Onboarding	Producer		Ask for availability		Slack		
Onboarding	Producer		Schedule Intro Call 		Slack, Zoom		
Onboarding	Producer		Schedule Channel Strategy Kickoff Call 		Slack, Zoom		
Onboarding	Producer		Gain Access to YT Channel 		YouTube		
Onboarding	Producer		Confirm Channel Analytics & Sample Footage was recieved		YouTube		
Onboarding	CS		DA reviews YT Channel for Channel Audit		YouTube		
Onboarding	CS		DA reviews competitors 		YouTube		
Onboarding	CS		DA assembles Channel Audit Report 		Google Sheets, Notion, ClickUp		
Onboarding	CS		DA shares Channel Audit with ECD and CD 		Google Sheets, Notion, ClickUp		
Onboarding	ECD & CD		ECD and CD Review & Align		Google Sheets, Notion, ClickUp, Slack		
Onboarding	ECD & CD		ECD and CD Provide Feedback or Contribute Thoughts		Google Sheets, Notion, ClickUp, Slack		
Onboarding	CS		DA revises		Google Sheets, Notion, ClickUp		
Onboarding	CS		DA shares Channel Audit with ECD and CD 		Google Sheets, Notion, ClickUp, Slack		
Onboarding	ECD		ECD Approves		Google Sheets, Notion, ClickUp, Slack		
Onboarding	ECD		Introduction Call (client provides feedback on Channel Audit)		Zoom		
Onboarding	CS		DA revises Channel Audit		Google Sheets, Notion, ClickUp		
Onboarding	CS		DA shares Channel Audit with ECD and CD 		Google Sheets, Notion, ClickUp, Slack		
Onboarding	ECD		ECD and CD Approve		Google Sheets, Notion, ClickUp, Slack		
Onboarding	CD		CD creates Channel Content Strategy		Notion, YouTube Studio		
Onboarding	CD		CD develops visual treatment options by online research and DA's past audit/analysis		Notion, YouTube Studio		
Onboarding	CD		CD shares Content Strategy and Visual Treatment Options to ECD		Notion, Slack, ClickUp		
Onboarding	ECD		ECD Approves or shares Feedback		Notion, Slack, ClickUp		
Onboarding	CD		If Feedback Provided --> 	CD Revises	Notion, YouTube Studio		
Onboarding	CD			CD shares with ECD	Notion, Slack, ClickUp		
Onboarding	ECD			ECD Approves	Notion, Slack, ClickUp		
Onboarding	CD		CD adds Channel Audit Report, Analysis, Value Prop to new Onboarding Document 		Google Sheets, Notion		
Onboarding	CD		CD & ECD review onboarding dashboard 		Notion, ClickUp		
Onboarding	ECD		ECD revises final dashboard 		Notion, ClickUp		
Onboarding	ECD (+ Producer, CD)		Channel Kickoff Call commences		Zoom		
Onboarding / Pre-Pro Overlap	CD		CD develops and shares Style Brief 		ClickUp, Notion, YouTube, ViewStats, 1of10		
Onboarding / Pre-Pro Overlap	PPM / Editor		PPM or Editor creates Style Edit		Adobe Premiere, Adobe After Effects		
Onboarding / Pre-Pro Overlap	PPM / Editor		PPM or Editor Iterates on Style Edit		Adobe Premiere, Adobe After Effects		
Onboarding / Pre-Pro Overlap	PPM		PPM Reviews 		Frame.io, ClickUp		
Onboarding / Pre-Pro Overlap	PPM		PPM Shares Feedback or Revises Themself		Frame.io, ClickUp		
Onboarding / Pre-Pro Overlap	CD		CD Reviews Style Edit 		Adobe Premiere, Adobe After Effects		
Onboarding / Pre-Pro Overlap	CD		CD Approves or provides feedback		Frame.io, ClickUp		
Onboarding / Pre-Pro Overlap	PPM / Editor		If Feedback Provided --> 	PPM / Editor reviews feedback	Frame.io, ClickUp		
Onboarding / Pre-Pro Overlap	PPM / Editor			PPM / Editor Revises	Adobe Premiere, Adobe After Effects		
Onboarding / Pre-Pro Overlap	CD			CD Reviews and Approves 	Frame.io, ClickUp		
Onboarding / Pre-Pro Overlap	ECD		ECD Reviews Style Edit 		Frame.io, ClickUp		
Onboarding / Pre-Pro Overlap	PPM		ECD Approves or Provides Feedback		Frame.io, ClickUp		
Onboarding / Pre-Pro Overlap	PPM / Editor		If Feedback Provided --> 	PPM / Editor reviews feedback	Frame.io		
Onboarding / Pre-Pro Overlap	PPM / Editor			PPM / Editor Revises	Adobe Premiere, Adobe After Effects		
Onboarding / Pre-Pro Overlap	ECD			ECD Approves Style Edit 	Frame.io, ClickUp		
Onboarding / Pre-Pro Overlap	Producer		Share Style Edit to Client		Slack, Frame.io		
Onboarding / Pre-Pro Overlap	Client		Client Approves or Provides Feedback 		Slack, Frame.io		
Onboarding / Pre-Pro Overlap	PPM / Editor		If Feedback Provided --> 	PPM or Editor Revises 	Adobe Premiere, Adobe After Effects		
Onboarding / Pre-Pro Overlap	ECD			ECD and CD Approve Style Edit 	Frame.io, ClickUp		
Onboarding / Pre-Pro Overlap	Producer			Share Style Edit to Client	Slack, Frame.io		
Onboarding / Pre-Pro Overlap	Client			Client Approves	Slack		
Onboarding / Pre-Pro Overlap	Producer		Producer Updates Clickup		Slack, ClickUp		
Onboarding / Pre-Pro Overlap	PPM		PPM assembles Editing SOP referencing Style Edit & Brief		Notion		
Onboarding / Pre-Pro Overlap	Producer		Producer shares Editing SOP to ECD 		Notion		
Onboarding / Pre-Pro Overlap	ECD		ECD Reviews 		Notion, Slack, ClickUp		
Onboarding / Pre-Pro Overlap	ECD		ECD approves or provides feedback 		Notion, Slack, ClickUp		
Onboarding / Pre-Pro Overlap	CD		If Feedback Provided --> 	CD Revises	Notion		
Onboarding / Pre-Pro Overlap	CD			CD shares with ECD	Notion, Slack, ClickUp		
Onboarding / Pre-Pro Overlap	ECD			ECD Approves	Notion, Slack, ClickUp		
